coin_id,symbol,name,price_usd,market_cap,volume_24h,change_1h_pct,change_24h_pct,change_7d_pct,all_time_high,ath_distance_pct,momentum,volume_to_mktcap_ratio,recovery_stage,extracted_at
bitcoin,btc,Bitcoin,75362.0,1507797219644,41825161301.0,-0.7668347850144993,-1.0671082526987765,-4.304747543226621,126080.0,-40.22707,🔻 Queda,0.0277,Metade,2026-04-29T15:48:05.723116
ethereum,eth,Ethereum,2230.05,268861270964,18734380955.0,-1.8662099145042608,-2.587815445184585,-7.07853265291376,4946.05,-54.91237,🔻 Queda,0.0697,Recuperação,2026-04-29T15:48:05.723116
tether,usdt,Tether,0.999642,189621944456,72379338929.0,0.004760015450417433,-0.014902179803409661,-0.05715733574399491,1.32,-24.44606,➡️ Lateral,0.3817,Próximo do ATH,2026-04-29T15:48:05.723116
ripple,xrp,XRP,1.35,83456539943,2179600800.0,-0.743239439037395,-1.9406198857276038,-6.620716533226095,3.65,-62.875,🔻 Queda,0.0261,Recuperação,2026-04-29T15:48:05.723116
binancecoin,bnb,BNB,612.35,82464222911,1034517892.0,-1.077373830547988,-1.7421093237275462,-5.06438371205749,1369.99,-55.30242,🔻 Queda,0.0125,Recuperação,2026-04-29T15:48:05.723116
usd-coin,usdc,USDC,0.999832,77274700802,15186938750.0,0.0023809579287655054,-0.00023558184130805703,0.006808136919929819,1.043,-4.17631,➡️ Lateral,0.1965,ATH Region,2026-04-29T15:48:05.723116
solana,sol,Solana,81.96,47214440553,3560689024.0,-1.223124192249719,-1.9931917116477813,-6.4971708454476325,293.31,-72.05601,🔻 Queda,0.0754,Recuperação,2026-04-29T15:48:05.723116
tron,trx,TRON,0.323142,30630495134,460110868.0,-0.056483233633245554,-0.12044777504928779,-1.7252221890543924,0.431288,-25.07513,➡️ Lateral,0.015,Metade,2026-04-29T15:48:05.723116
figure-heloc,figr_heloc,Figure Heloc,1.034,17798485238,20337725.0,0.2291026048640378,-0.5581183975606633,0.5092792731299153,1.049,-1.47566,➡️ Lateral,0.0011,ATH Region,2026-04-29T15:48:05.723116
dogecoin,doge,Dogecoin,0.101624,15645720905,4161786590.0,-1.9967658458804192,2.340882377316247,4.4340742632697285,0.731578,-86.10892,📈 Alta,0.266,Fundo Profundo,2026-04-29T15:48:05.723116
whitebit,wbt,WhiteBIT Coin,53.53,11424304267,67769768.0,-0.8904189985219925,-0.8315511715129792,-4.862755342033885,64.11,-16.49435,➡️ Lateral,0.0059,Próximo do ATH,2026-04-29T15:48:05.723116
usds,usds,USDS,0.999737,10543217470,37928017.0,0.0003999924850017746,-0.011880408835506716,0.005817348891542459,1.15,-13.22314,➡️ Lateral,0.0036,Próximo do ATH,2026-04-29T15:48:05.723116
leo-token,leo,LEO Token,10.32,9506280790,467098.0,-0.12178154501697956,-0.4281742635341647,1.7950713304711194,10.45,-1.21625,➡️ Lateral,0.0,ATH Region,2026-04-29T15:48:05.723116
hyperliquid,hype,Hyperliquid,39.51,9392666951,224583265.0,-0.17175217806013957,-0.8942926710197826,-3.5032664173538572,59.3,-33.37079,➡️ Lateral,0.0239,Metade,2026-04-29T15:48:05.723116
bitcoin-cash,bch,Bitcoin Cash,443.98,8892767741,164931680.0,-0.8208541135270796,-1.040151807542519,-4.105648963352549,3785.82,-88.27261,🔻 Queda,0.0185,Fundo Profundo,2026-04-29T15:48:05.723116
